Provincia di vendita,N. Reg. , Prodotto fitosanitario venduto*,"Quantità 
(Kg o litri)"
RO,13104,,585
RO,13104,ALGOR PLATIN,165
RO,13116,MEDOR 35 CLASS,53
RO,13120,,505
RO,13120,MYSTIC 430 SC,100
RO,13126,,907
RO,13126,CABRIO DUO,1361
RO,13127,,200
RO,13149,POLTIGLIA MANICA 20 WG,4
RO,13150,CURAME 25 WG,27
RO,13154,MONDAK 480 S,185
RO,13158,,1
RO,13158,REMEDIER,109
RO,13160,,1455
RO,13166,,79
RO,13168,,919
RO,13168,LAUDIS,8966
RO,13168,LAUDIS LT. 1,9
RO,13213,R6 ERRESEI ALBIS,8
RO,13218,,20
RO,13218,FINALSAN PLUS,150
RO,13225,,63
RO,13236,BULLET,125
RO,13242,,19
RO,13242,NICOGAN V.O.,4649
RO,13244,ZOLFO VENTILATO STELLA,125
RO,13252,PLAYER 250 SC,67
RO,13254,,14
RO,13254,PLAYER 25 WG,2183
RO,13254,PLAYER 25 WG KG. 1,5
RO,13313,,18
RO,13313,CASPER,58
RO,13327,,0.1
RO,13327,GRANSTAR ULTRA SX,71.15
RO,13329,OMNEX 10 EC,159
RO,13367,,179
RO,13367,DIVO,482
RO,13382,,852.5
RO,13382,PERGADO SC,559
RO,13386,,55
RO,13386,PROSARO,4107
RO,13386,PROSARO LT. 1,12
RO,13386,PROSARO LT. 5,20
RO,13387,,27.56
RO,13387,FLORAMIX,199.81
RO,13388,,1.59
RO,13389,,496
RO,13389,AFFIRM,3562
RO,13391,,557
RO,13391,CYTHRIN 50 EC,823
RO,13447,HELMSTAR 75 WG,1.38
RO,13447,HELMSTAR 75 WG GR. 10,0.1
RO,13451,SPARVIERO,427
RO,13455,,50
RO,13455,ANTIGRAM GOLD,4686
RO,13466,,93
RO,13466,SPOTLIGHT PLUS,749
RO,13471,NICOZEA OD,161
RO,13485,FOLPEC 80 WG ADVANCE,100
RO,13489,,95.5
RO,13489,CYMBAL,163
RO,13540,QUASAR R FLOW,189
RO,13552,ZOLVIS 80 SECTOR,261
RO,13560,FORZA,1626
RO,13576,,5.5
RO,13578,RAME CAFFARO BLU WG NEW,69
RO,13581,ZOLVIS OTTANTA WG,100
RO,13586,VERDERAME 20 WG,10
RO,13592,,695
RO,13592,VOLARE,388
RO,13600,,50
RO,13635,,10
RO,13635,POLTIGLIA 20 PB MANICA,700
RO,13689,,9
RO,13689,FLINT MAX,20.5
RO,13693,BACILLUS CHEMIA,36.2
RO,13698,VIVANDO,960.25
RO,13701,,140
RO,13701,MAROX PRIME SX,11
RO,13711,,4290
RO,13714,FOLPEC 50 SC,40
RO,13741,SELECTA DISPERSS,165
RO,13753,GAL-GONE,76
RO,13771,,271
RO,13771,NIMROD 250 EW,579
RO,13782,DOURO 10 WG,30
RO,13789,PRIMERO,979
RO,13792,STABILAN,230
RO,13796,CELL,489
RO,13807,RAVENAS,23
RO,13809,,18830
RO,13809,FORCE ULTRA,30840
RO,13823,,113
RO,13823,ALVERDE,538
RO,13841,,3241
RO,13841,FOCUS ULTRA,9762
RO,13841,FOCUS ULTRA LT. 1,8
RO,13841,FOCUS ULTRA LT. 5,35
RO,13888,FANTIC F NC WG,711
RO,13895,SAVIRAN STAR,20
RO,13899,,524.5
RO,13905,,73
RO,13905,BANJO,978
RO,13925,,27
RO,13925,BOGARD,18
RO,13926,SPONSOR,2
RO,13930,MARINS 200 CLASS,68
RO,13981,,93.2
RO,13981,CORAGEN,940.14
RO,13983,HUSSAR MAXX PRO,92
RO,14024,PERFIL 10 WP,0.5
RO,14044,JOKER 480,11
RO,14058,,237.75
RO,14058,FEINZIN 70 DF,2259.25
RO,14058,FEINZIN 70 DF GR. 250,0.75
RO,14061,TRIANUM-P,4.5
RO,14062,,275
RO,14062,ZOXIUM 240 SC,1108
RO,14074,TRINEX 250 EW,11
RO,14093,ANTARKTIS,2
RO,14100,KANEMITE,42
RO,14101,CARAMBA,2923
RO,14109,NICOSH,81
RO,14122,KATAR,118
RO,14128,,1
RO,14128,ZIGNAL,1
RO,14135,GRENADIER 75 DF,2.13
RO,14136,OBERON,24
RO,14137,,113.9
RO,14137,ALTACOR,170.5
RO,14155,,1400
RO,14156,CURZATE R WG,10
RO,14165,,284
RO,14165,NANDO MAXI,2535
RO,14178,TRI-BASE,10
RO,14182,,210
RO,14182,ARES 25 WG,897
RO,14193,,893
RO,14193,SARMOX 45 DG,3.5
RO,14195,,747
RO,14195,KENDO WITH ZEON TECHNOLOGY,23
RO,14204,,10
RO,14204,75A,29
RO,14210,,13
RO,14210,EVURE PRO,26
RO,14214,,1
RO,14217,TENAX EW,4
RO,14232,CYTHRIN MAX,33.5
RO,14245,,0.5
RO,14245,THIRAS,0.5
RO,14262,GREENEX NF,23.5
RO,14294,EXECUTIVE,501.6
RO,14336,NEMATHORIN 150 EC,75
RO,14375,LION 5 EC,976
RO,14387,NERVURE SUPER,5
RO,14390,BOOM EFEKT,3568
RO,14406,LEIMAY,11
RO,14407,RUNWAY,6.5
RO,14409,,284
RO,14409,MOVENTO 48 SC,4207
RO,14418,,2
RO,14418,PULSAR 40 SL,46
RO,14431,,192
RO,14431,LENTAGRAN 45 WP,199
RO,14440,SOLAR 360,21675
RO,14440,SOLAR 360 LT. 20,200
RO,14440,SOLAR 360 LT. 5,55
RO,14479,,300
RO,14479,SCHERMO 0.5 G,29113
RO,14479,SCHERMO 0.5 G KG. 10,20
RO,14523,,2.5
RO,14523,CARPO 600,417
RO,14549,LEPIBACK,3
RO,14559,AGREE WG,160
RO,14576,CUTRIL EVO,200
RO,14577,FORUM R 3B,70
RO,14582,FENGIB,24
RO,14629,GAT TESSLA 25 WG,353
RO,14636,,1034
RO,14636,BIOLID UP,3001
RO,14642,,248
RO,14642,RIDOMIL GOLD R WG,4096
RO,14660,BTK 32 WG,80
RO,14664,BERELEX 40 SG,5.02
RO,14683,BERMERAX,1.28
RO,14686,,1140
RO,14697,,11
RO,14697,ENERVIN DUO,721
RO,14699,,30
RO,14699,GEOXE,253.5
RO,14728,CELIO,319
RO,14735,,52.5
RO,14735,RANMAN TOP,393
RO,14737,,7185
RO,14737,ROUNDUP PLATINUM,30206.5
RO,14737,ROUNDUP PLATINUM LT. 15,45
RO,14737,ROUNDUP PLATINUM LT. 5,5
RO,14764,SLUXX HP,15
RO,14765,ELUMIS,1322
RO,14769,COMET 250 EC,773
RO,14769,COMET 250 EC LT. 1,3
RO,14794,AVALON SC,940
RO,14801,,6
RO,14801,ADMIRAL GOLD,2
RO,14812,,2
RO,14812,ENERVIN TOP,131
RO,14830,,2400
RO,14830,CUPROFIX ULTRA DISPERSS,315
RO,14836,BARBARIAN BIOGRADE 360,35
RO,14837,TARTAN,370
RO,14838,BARCLAY GALLUP BIOGRADE 360,9581
RO,14845,,2
RO,14846,,264
RO,14846,AVALON 250 EW,295
RO,14854,KARAMAT M,8
RO,14867,SYNERO,38
RO,14872,BELLIS DRUPACEE,85.5
RO,14876,GRANDSTAND,2
RO,14879,,6.15
RO,14879,LONTREL 72 SG,13.05
RO,14884,,237
RO,14884,CORUM,5496
RO,14884,CORUM LT. 1,24
RO,14884,CORUM LT. 5,50
RO,14891,TRICO,5
RO,14897,FLUROSTAR 200,10
RO,14916,SILWET SPRINTEX,1
RO,14918,,105
RO,14918,RIVIOR,208
RO,14935,,2026
RO,14935,TIMELINE TRIO,1737
RO,14935,TIMELINE TRIO LT. 1,7
RO,14936,AMPLIGO,524
RO,14940,,9.1
RO,14940,TAKUMI,75
RO,14944,FLUXYR 200 EC,28
RO,14967,TIPTOR ULTRA,339
RO,14969,HOPPER 480,2625
RO,14972,DICARZOL 50 SP,175
RO,14980,,74
RO,14980,AFFINITY PLUS,5
RO,15005,,20
RO,15005,FONTELIS,41
RO,15019,RIVIERA,1
RO,15023,,60
RO,15023,DERREX,1000
RO,15037,BREZZA,1
RO,15039,,1.5
RO,15039,GAMIT 36 CS,19
RO,15044,LAUDIS  WG,85
RO,15047,,10
RO,15047,R6 ERRESEI BORDEAUX WG,111
RO,15048,,1
RO,15048,INDOXAN 45 WDG,193
RO,15049,MODDUS,100
RO,15051,,4560
RO,15051,KYLEO,18545
RO,15052,KAIMO SORBIE,86.6
RO,15056,TOMCATO,44
RO,15058,PRINCIPAL MAIS,80
RO,15059,,403
RO,15059,DECIS EVO,2503
RO,15059,DECIS EVO ML. 250,1.75
RO,15062,,317
RO,15062,PIRAMAX  EC,365
RO,15063,NIMBLE,16.1
RO,15083,AUDACE,546
RO,15084,DRUM,13.5
RO,15089,MARKER DUO,400
RO,15096,GLIPHOGAN TOP CL,1015.5
RO,15101,CIMORAM ULTRA WG,140
RO,15102,CURZATE ERRE EVO,5
RO,15111,MIRADOR SC,27
RO,15111,MIRADOR SC LT. 1,12
RO,15115,,33
RO,15115,PROSPER 500 EC,50
RO,15122,,1
RO,15130,,1
RO,15130,INTREPID,98
RO,15142,,400
RO,15142,ALCANCE SYNC TEC,8266
RO,15149,,3975
RO,15149,COSAVET DF EDGE,40
RO,15198,,393
RO,15198,AZBANY,76
RO,15199,SAKURA,1987
RO,15201,FLOXY 400 SC,11
RO,15229,,340
RO,15229,STOPPER P,135
RO,15233,DALET TRIO,4
RO,15235,,11
RO,15235,MOMENTUM,3
RO,15251,AIRONE LIQUIDO,7857
RO,15253,,72
RO,15253,FALCON MK,15
RO,15264,ENERVIN SC,240
RO,15265,,760
RO,15265,PROMAN FLOW,1099
RO,15265,PROMAN FLOW LT. 1,9
RO,15265,PROMAN FLOW LT. 5,20
RO,15275,DURAVIS,785
RO,15275,DURAVIS KG. 1,19
RO,15291,TURFENE PLUS,9
RO,15293,MAVITA 250 EC,103
RO,15294,,417
RO,15294,KENDO BI-ACTIVE,31
RO,15299,METIX R,21
RO,15302,,41
RO,15302,AMYLO-X,120
RO,15307,,99.5
RO,15311,,125
RO,15313,THIAMON FLOW,750
RO,15315,,97
RO,15315,EMBRACE,25
RO,15317,,149
RO,15326,CUPROTEK DISPERSS,1080
RO,15330,PINDARUS 25 WDG,27
RO,15335,,67
RO,15337,EXPRESS,3.8
RO,15344,,48
RO,15344,FILAN WG,48
RO,15346,,7
RO,15348,,2
RO,15348,RIDOMIL GOLD R LIQUIDO,1211
RO,15349,,8
RO,15349,ARES 430 SC,1694
RO,15358,ZOLFO FLOW MCT,1200
RO,15363,MEDEIRO 80 WG ADVANCE,10
RO,15365,RAME ZOLFO FLOW MCT,2
RO,15369,MAGMA TRIPLE,42
RO,15375,NIC 4,7
RO,15378,,71
RO,15378,TRAXOS PRONTO 60,851
RO,15378,TRAXOS PRONTO 60 LT. 1,5
RO,15378,TRAXOS PRONTO 60 LT. 5,5
RO,15379,,156.77
RO,15379,AXIAL PRONTO 60,525.75
RO,15384,,51
RO,15384,LUNA EXPERIENCE,571
RO,15389,,2800
RO,15389,FLARE GOLD R WG,10
RO,15398,KAMIKAZE,10
RO,15401,,1065
RO,15401,TAIFUN MK CL,45273
RO,15402,DELTASAP,2
RO,15409,DECISION,9
RO,15410,DECA,482
RO,15411,DISHA,10
RO,15419,ELECTIS R FLOW,41
RO,15422,,4.86
RO,15422,TITUS DUO,23.94
RO,15436,MYCOTAL,0.5
RO,15438,SANMITE 10 SC,8
RO,15448,REBEL TOP,1
RO,15449,CIDELY,62
RO,15483,WISH,81
RO,15491,SWORD UP,232.5
RO,15493,SIMUN 40 OD,17
RO,15501,,27
RO,15501,QUIZ,45
RO,15507,CREW SUPERB,161
RO,15513,OSSICLOR 35 WG GREEN,1082
RO,15514,CUPRAVIT BLU 35 WG,1
RO,15536,,388
RO,15536,ANTAL,1
RO,15537,DELTAGRI,3
RO,15543,,26
RO,15543,LUMACHICIDA FER PFNPE,802.7
RO,15546,,16.45
RO,15546,BIATHLON 4D,576.15
RO,15546,BIATHLON 4D GR. 100,2.5
RO,15546,BIATHLON 4D GR. 350,1.05
RO,15549,,1
RO,15549,PROLECTUS 50 WG,43
RO,15550,,121
RO,15550,MERLIN FLEXX XTRA,26
RO,15553,,30
RO,15553,REGALIS PLUS,76.5
RO,15563,TRAILER,12.06
RO,15566,,168
RO,15566,VISION PLUS,654
RO,15574,KARMA 85,370
RO,15583,,602
RO,15583,PIRAT,323
RO,15589,KARDA,400
RO,15591,,3
RO,15598,,31
RO,15598,CARPOVIRUSINE EVO 2,61
RO,15610,CYPERKILL 50 EC,82
RO,15612,,4.95
RO,15612,SEMPRA,12.7
RO,15621,BOTTO 50 EC,185
RO,15629,BADGER 45% WG,1.5
RO,15630,,57
RO,15630,CARSON 45% WG,33
RO,15633,REVUS TOP,1
RO,15635,,971.5
RO,15635,ADENGO XTRA,3519.5
RO,15635,ADENGO XTRA ML. 0.500,3
RO,15642,HYDRA PLUS,148
RO,15654,ACCORD,38
RO,15655,KEETON 25 WG,294
RO,15665,KEMPO SORBIE,318
RO,15668,GHIBLI 240 OD,1
RO,15674,,0.1
RO,15674,AMADEUS TOP,0.25
RO,15680,MITHRA 40 SC,55
RO,15689,,12
RO,15689,DIFENZONE,217
RO,15693,,12
RO,15710,CLINCHER ONE,168
RO,15712,,11260
RO,15712,SATELITE,4095
RO,15715,VIDERYO F,5
RO,15718,,21.7
RO,15718,GRANSTAR TRIO,7.4
RO,15722,ARMICARB 85,15
RO,15736,KOPRON 35 WG,300
RO,15741,,10
RO,15741,AVADEX FACTOR,1000
RO,15744,,320
RO,15744,REBOOT,90
RO,15748,,133
RO,15748,SYLLIT 544 SC,470
RO,15751,VITENE TRIPLO R,5
RO,15752,,5
RO,15752,CIDELY TOP,74
RO,15753,PYXIDES DUO,37
RO,15754,SHARPEN 33% EC,14
RO,15769,,2790
RO,15769,MERO,436
RO,15790,AMISTAR TOP,10
RO,15806,ONYX,7
RO,15808,CYMBAL FLOW,1
RO,15831,VACCIPLANT,13
RO,15834,,1
RO,15836,,6
RO,15836,RATRON GW,13
RO,15837,,9.75
RO,15837,RATRON GL,3
RO,15838,,390
RO,15838,ROUNDUP ULTRAMAX,8310
RO,15856,AZAKA,107
RO,15868,CENTURION PRO,870
RO,15869,,1559
RO,15869,OPTIX STAR DISPERSS,2787
RO,15870,,6.8
RO,15870,CLIOPHAR 600 SL,6.6
RO,15882,ATILLA,50
RO,15888,AZOX 25 SC,111
RO,15892,BANG PLUS,60
RO,15900,,3580
RO,15900,TRIKA EXPERT,17330
RO,15901,,7880
RO,15901,ERCOLE,20830
RO,15907,PRESIDIUM ONE,384
RO,15911,SPIROX,91
RO,15915,,89
RO,15915,STARANE HD,200
RO,15926,,2225
RO,15926,MOJANG 600,6944
RO,15948,,89
RO,15948,SINSAJO,123
RO,15986,VEGAS 50 WG,6
RO,15990,,1
RO,15990,SCIROCCO 125 EW,3
RO,16007,,3011
RO,16007,REWARD,316
RO,16023,DIMBO 480 SL,96
RO,16027,METOMOR F,1500
RO,16032,,30
RO,16032,RADAR 10 EC,13
RO,16033,HEREU SC,19
RO,16034,DOURO 100 EC,12
RO,16037,MOJANG TX,5
RO,16038,CABRIO WG,111
RO,16041,BATTLE DELTA,7
RO,16042,TOSCANA,0.03
RO,16051,LENNS,125
RO,16054,,4
RO,16054,SINSTAR,12
RO,16056,SARACEN,0.25
RO,16063,ARIGO,8.25
RO,16064,CREDIT 540,640
RO,16065,SERRATE,98.25
RO,16071,MESOZIN 70 WG,3.5
RO,16074,GLORIAL 25 EC,308
RO,16076,SOLIS,140
RO,16076,SOLIS LT. 1,3
RO,16083,STIKER FLOW,0.25
RO,16084,BREVIS,31
RO,16085,TRIMUR,1.67
RO,16086,NEMGUARD GRANULES,175
RO,16089,BUGUIS,4.41
RO,16089,BUGUIS ML. 630,3.78
RO,16092,,316
RO,16092,CICLOPE,8
RO,16101,TOPAS COMBI LIQUIDO,50
RO,16104,ELECTIS TRIO WDG,203.5
RO,16108,ATELIER,5
RO,16132,,1.6
RO,16140,ALMADA F,52
RO,16142,MINECTO ALPHA,11
RO,16157,ATLANTIS FLEX,6.6
RO,16167,MARACANA,3
RO,16170,,20
RO,16170,TRICUP FLOW,138
RO,16171,,5.4
RO,16178,,50
RO,16181,,39
RO,16182,CLICK PRO,210
RO,16187,TANGO R PLUS,20
RO,16191,,227
RO,16191,TRIMAXX,415
RO,16198,EVORAM 15,100
RO,16199,CUPRORAM 35 WG BLU,2
RO,16200,,10
RO,16200,CUPRORAM 35 WG NC,880
RO,16205,IDROX 20,10
RO,16208,CLEANCLASTER,20
RO,16221,,21.4
RO,16221,MADEX TOP,9.4
RO,16224,,45
RO,16224,CUPRORAM 37.5 WG,220
RO,16226,,10
RO,16226,CIMOTER RAME WG,1327
RO,16232,MINERVE,114.8
RO,16235,,215
RO,16235,KEYFOL WG,50
RO,16237,GOLBEX WG,725
RO,16242,,185
RO,16248,FERREX,1314
RO,16249,CARDINAL 50 WG,60
RO,16251,,176
RO,16251,AFFIRM OPTI,1486
RO,16252,,595
RO,16252,AMISTAR GOLD,10
RO,16261,BELOUKHA,180
RO,16271,FRESCO,690
RO,16273,,118
RO,16273,SIVANTO PRIME,264
RO,16277,,130
RO,16277,ALMADA 50 SC,830
RO,16280,,210
RO,16280,ALMADA HYDRO,60
RO,16285,,281
RO,16285,KALIMBA,369
RO,16287,,48
RO,16287,SOLIGOR,3629
RO,16288,AMPEXIO,8.25
RO,16290,,0.5
RO,16290,AMADEUS ULTRA,44.71
RO,16293,,1
RO,16293,PACLOT NEW,29
RO,16295,,141
RO,16295,RAPAX AS,24
RO,16299,,3317
RO,16299,PASSAT SL,1547
RO,16305,BONZI,15
RO,16312,,4
RO,16312,TOMIGAN,19
RO,16312,TOMIGAN LT. 1,3
RO,16314,,65
RO,16314,ZOXIS 250 SC,2473
RO,16320,,2
RO,16323,PENDIWIN,8
RO,16325,,978
RO,16325,EPIK SL,6726
RO,16335,LIETO SC,58
RO,16336,,122
RO,16336,DELAN SC,257
RO,16354,SHARDIF 250 EC,8
RO,16363,,342.4
RO,16363,SIRTAKI,2329.1
RO,16363,SIRTAKI ML. 300,2.4
RO,16364,,2530
RO,16364,BISMARK,7710
RO,16369,,5
RO,16369,ORTIVA TOP SC,395
RO,16376,PROXIMO,51
RO,16379,,747
RO,16379,PREV-AM PLUS,526
RO,16381,,28
RO,16381,CALLICORE,546
RO,16384,,1117
RO,16384,ELATUS ERA,2355
RO,16385,,78.75
RO,16385,ELATUS PLUS,233.25
RO,16395,MOHICAN 500 SC,143
RO,16396,TEMSA 100,3
RO,16415,MADEX TWIN,0.4
RO,16425,,40
RO,16425,LASER 120 SC,157
RO,16433,FLINT RISO,24
RO,16438,,217.5
RO,16438,VELUM PRIME,80
RO,16442,PROFILER,315
RO,16442,R6 ERRESEI ALBIS EASY,150
RO,16457,,2450
RO,16457,POLTIGLIA 20 WG GREEN,648
RO,16458,OSSICLOR 30 GREEN,140
RO,16461,,460
RO,16461,CENTURION 240 NEO,613
RO,16472,,238
RO,16472,CONVISO ONE,315
RO,16474,,19.2
RO,16474,MATSUDA 25 WG,107
RO,16477,RIVAL,22
RO,16480,,208
RO,16480,3LOGY,220
RO,16481,,3875.97
RO,16481,CALLISTO 480,12.6
RO,16485,,35
RO,16485,ROMULAN,71
RO,16498,,171
RO,16500,TRIBAL,2.21
RO,16509,IBISCO,18
RO,16523,MISTER C,8.4
RO,16527,TELLUS WP,1
RO,16538,KITAMBA,5
RO,16562,,210
RO,16562,DELAN PRO,1520
RO,16565,EXECUTIVE GOLD,8.7
RO,16566,KUPPER 20 WG,410
RO,16567,,20
RO,16570,SENCOR 600 SC,594
RO,16573,,169
RO,16573,FIGHTER,88
RO,16575,TRIMMER 50 WG,3.56
RO,16577,,2
RO,16577,U46 COMBI DUO,33
RO,16578,MELODY COMPACT WG,41
RO,16596,SANIUM SL25 PFNPE,0.57
RO,16597,SANIUM SL25 PFnPO,0.6
RO,16598,SANIUM AL PFNPE,38.28
RO,16599,SANIUM AL PFnPO,20
RO,16607,,180
RO,16609,,880
RO,16616,,1230
RO,16616,VALLEY,3163
RO,16616,VALLEY LT. 1,29
RO,16618,COLZA POWER PFNPE,58.14
RO,16624,,42
RO,16624,LUNA CARE,714
RO,16625,MAINSPRING,0.8
RO,16630,NATUREN LIMEX PFNPE,382.15
RO,16632,LUNA SENSATION,11.5
RO,16640,,24
RO,16640,MAZA 4% SL,3
RO,16643,,48
RO,16643,SUCCESS GR,1776
RO,16654,POLYVERSUM,30.5
RO,16657,,885
RO,16657,CENTURY PRO,1090
RO,16658,,124
RO,16658,DAGONIS,1307
RO,16660,ACTLET C,50
RO,16667,,729
RO,16667,REVOLUTION,565
RO,16690,,523
RO,16690,KESTREL,1502
RO,16694,CHANON,105
RO,16699,,1.3
RO,16699,RIMURON,2.9
RO,16701,,17.8
RO,16701,PLAZA,907.9
RO,16734,T34 BIOCONTROL,2
RO,16735,LOBETEC,7.48
RO,16742,NEMGUARD SC,52
RO,16749,FOLPAN ENERGY,5
RO,16753,,55
RO,16753,MERPLUS,35
RO,16757,DICASH,16
RO,16761,DELMUR,6
RO,16774,ISOMATE C LR MAX TT,0.86
RO,16776,,467
RO,16776,ASSET FIVE,746.75
RO,16779,TONALE,426
RO,16780,,280
RO,16780,SERENADE ASO,455
RO,16783,,2152
RO,16783,NICARAGUA,204
RO,16787,,1960
RO,16787,CLINIC ST,5160
RO,16792,PROFILE PLUS,45
RO,16796,JOICE 55 D,1205
RO,16797,DEMETRINA 25 EC,101
RO,16802,,44
RO,16802,ZYPAR,5659
RO,16802,ZYPAR LT. 1,16
RO,16808,NEXT,31
RO,16813,,12.5
RO,16813,XANADU,0.8
RO,16814,TREZAC,2
RO,16816,,40
RO,16816,EXALT 25 SC,479
RO,16818,,10
RO,16818,FLUAZINOVA PLUS,505
RO,16819,,5
RO,16819,NATUR BREAKER,2
RO,16827,MAISOT,710
RO,16828,MAKURI MAX,20.5
RO,16830,FANDANGO 360 TF,200
RO,16831,GLIFENE BIOGRADE,10225
RO,16832,,16
RO,16833,,180
RO,16833,PANTOX 360 SUPER,4087
RO,16836,STALLION IT SYNC,15
RO,16841,,30
RO,16843,,30
RO,16846,,2
RO,16846,VESTICOR,133.1
RO,16857,SHORTTRACK,39
RO,16858,KENJA,7
RO,16867,,5
RO,16867,GLISTER STAR,563
RO,16868,,6
RO,16868,PACIFICA XPERT,2
RO,16882,,319
RO,16882,PROPULSE,1722
RO,16886,,40
RO,16886,CLOSER,199.5
RO,16891,CAPRENO,12
RO,16892,NEXY,0.17
RO,16895,,141
RO,16895,ZORVEC ENICADE,4.05
RO,16896,,3.2
RO,16896,ZORVEC ZELAVIN,0.2
RO,16897,KATOUN GOLD,10
RO,16902,AVIATOR XPRO,312
RO,16904,KIDEKA 100 SC,297
RO,16906,GHIBLI PLUS,36
RO,16916,,90
RO,16917,LOGRADO PLUS,100
RO,16925,WISH TOP,15
RO,16939,SARUMO,4
RO,16945,,23
RO,16945,SERCADIS,82.9
RO,16946,DARAMUN,20
RO,16950,MANAMID 100 SC,611
RO,16957,,500
RO,16957,ZORVEC VINABRIA,289
RO,16958,PROLIANT,3.4
RO,16963,AVENOX 240,109.5
RO,16968,,35
RO,16968,PENDINOVA,15
RO,16976,,1335
RO,16976,VITIKAPPA,970
RO,16988,,660
RO,16988,NAIF,4560
RO,16994,GRIMS DUO,204
RO,17003,PRIAXOR,1956
RO,17005,CLOMATE,122.5
RO,17006,MONCUT,53
RO,17008,LALGUARD M52 OD,115
RO,17014,,3
RO,17014,DELEGATE WDG,176.8
RO,17020,NORIOS,5
RO,17026,,630
RO,17026,DUPLOSAN SUPER,150
RO,17038,TUAREG NEW,6228
RO,17049,VOYAGER,23
RO,17058,,6
RO,17058,ROMEO,1
RO,17060,DERBY,35
RO,17066,,94
RO,17066,PRAXIM,770
RO,17075,MOVIDA,0.63
RO,17076,GAZELLE,1243
RO,17078,,281
RO,17078,QUANTUM L,299
RO,17079,,1660
RO,17079,FORCE EVO,6900
RO,17081,CUPROSSIL IDRO NEW 20 WG,247
RO,17099,ZAKEO 250 SC,194
RO,17107,SPYRIT 50 SC,194
RO,17112,,8
RO,17112,DIFCOR,66
RO,17115,,1738
RO,17115,ZETROLA,1597
RO,17116,,570
RO,17116,ACTIVUS ME,2253
RO,17116,ACTIVUS ME LT. 1,16
RO,17116,ACTIVUS ME LT. 5,20
RO,17121,ATLANTIS ACTIV,47.52
RO,17123,AVANA,10
RO,17128,JURA EC,40
RO,17129,COSAVET FLOW,10
RO,17149,,20
RO,17149,AZ 250 SC,645
RO,17164,,285
RO,17165,,161
RO,17165,WASAN,9
RO,17168,VERDRAM TRI HI BIO,500
RO,17170,BELKAP EXTRA,24
RO,17178,TOTAL GREEN L,2895
RO,17193,MAZICA,16.28
RO,17194,DICARINI,19.92
RO,17203,PETANCK,170
RO,17204,,175
RO,17205,CIDIAL,27
RO,17209,,140
RO,17209,DAVAI,1288
RO,17209,DAVAI LT. 1,10
RO,17211,GENKOTSU,3
RO,17212,ISERAN,377
RO,17217,ARMICARB SPRAY PFNPE,51.75
RO,17222,CURBATUR EC 250,322
RO,17226,,3.07
RO,17226,CHECKMATE PUFFER FRUIT MULTI,42.36
RO,17234,MAYA 70 WG,275.5
RO,17242,NEXTER 10 SC,4
RO,17248,ZORVEC VINABEL,121
RO,17254,SIAGRAN ULTRA,14.2
RO,17255,CHAMANE,369
RO,17261,POKER GEO,6940
RO,17266,DELTAKILL EC,87
RO,17268,,6
RO,17268,KUKI 70,211
RO,17270,,648
RO,17270,ASCRA XPRO,1852
RO,17272,SERIFEL,9
RO,17275,NOTO CLASS,157
RO,17278,KIDEKA,386
RO,17281,PETALIN,46
RO,17284,RODEO PLUS,19685
RO,17284,RODEO PLUS LT. 20,100
RO,17284,RODEO PLUS LT. 5,5
RO,17293,DIAGONAL,2
RO,17294,,38
RO,17304,KAN-DOO,380
RO,17307,TAZER,39
RO,17313,,118
RO,17313,ARTINA EC,216
RO,17319,,45
RO,17319,FOXPRO,123
RO,17320,SENIOR 75 WG,247
RO,17320,SENIOR 75 WG GR. 500,1.5
RO,17325,BUTIK,6
RO,17327,SHERPA 0.8 MG,708
RO,17330,RHIZOPON AA POLVERE 2%,6
RO,17340,APHOX 50,5
RO,17346,EXOSET 240 EC,2761
RO,17358,BLAISE ULTRA,1312
RO,17360,,85
RO,17360,MAGO,2435
RO,17366,LOYANT 25 Neo EC,251.4
RO,17368,ALETIL DF,1
RO,17369,ECOMIX,387
RO,17369,ECOMIX LT. 1,14
RO,17371,,30
RO,17371,FLARE GOLD R LIQUIDO,120
RO,17377,,0.24
RO,17377,REFINE SX,27.43
RO,17378,,282
RO,17378,GACHINKO,15.3
RO,17389,SHARK PF,10
RO,17398,,1670
RO,17398,DOMITREL 400 CS,105
RO,17403,BLOSSOM PROTECT NEW,15
RO,17407,WINTECH,930
RO,17411,ATONIK,16
RO,17421,AGRIZOLE 250,42
RO,17422,,1131
RO,17422,ENVITA SC,408
RO,17432,,44
RO,17432,AGHARTA,84
RO,17435,,24
RO,17435,RIDOMIL GOLD COMBI WG,24
RO,17451,TEKKEN,1037
RO,17452,TARCAN,93.25
RO,17454,ENCARIT,144
RO,17455,PALIO,118
RO,17461,,91
RO,17462,ORONDIS VEG,13.25
RO,17469,TAEGRO,81.4
RO,17471,,321
RO,17471,ORDEXO,5
RO,17472,,112
RO,17472,JADE,5513
RO,17472,JADE LT. 1,2
RO,17475,RODAL 240,22
RO,17478,EMPIRE,50
RO,17496,,667
RO,17496,OPTIMO WG,53
RO,17497,CALDERA,210
RO,17498,PULSAR EVO,10
RO,17503,BORDOLESE 20,1225
RO,17508,,75
RO,17508,POLYCOM 70 DF,4695
RO,17513,METREX,48.5
RO,17524,ALCOBAN,130
RO,17529,MEDOR 70 WDG,4.75
RO,17551,CYPERFOR 100 EW,37
RO,17552,COLUMBO PRO,12
