"Prodotti fitosanitari venduti nell'anno 2022
(fonte dati: Autorità regionale competente, dichiarazioni di vendita p.f. 2022, art. 16 D.Lgs 150/2012)";;;
Provincia;N. Reg. ; Prodotto fitosanitario venduto;"Quantità 
(Kg o litri)"
RO;12933;;69
RO;12933;MOXYL 20 WP;1
RO;12940;;358
RO;12940;KARATE ZEON 1.5;1.643,50
RO;12960;STARPROP;192
RO;12961;;23
RO;12972;;350
RO;12972;GLYFOS DAKAR;130
RO;12994;VIVER ELITE WG;329
RO;13012;;115
RO;13020;;2.985,00
RO;13020;MICRORAM 35 WG;2.160,00
RO;13020;MICRORAM 35 WG PFnPE;32,5
RO;13061;BIOBIT DF;10
RO;13062;;2
RO;13063;REGULEX 10 SG;39,5
RO;13064;;59
RO;13065;DOMARK 125;653
RO;13068;NEORAM WG;340
RO;13076;BRAITEX  PRO;61
RO;13084;;14
RO;13084;TELDOR PLUS;9
RO;13084;TELDOR PLUS PFnPE;0,3
RO;13093;;569
RO;13093;STOMP AQUA;2.837,00
RO;13098;;3.805,50
RO;13098;ROUNDUP POWER 2.0;10.283,00
RO;13098;ROUNDUP POWER 2.0 PFnPE;692
RO;13104;ALGOR PLATIN;295
RO;13106;;3
RO;13116;MEDOR 35 CLASS;348,5
RO;13120;;477
RO;13120;MYSTIC 430 SC;14
RO;13126;;927
RO;13126;CABRIO DUO;1.508,00
RO;13127;;170
RO;13149;POLTIGLIA MANICA 20 WG;17
RO;13149;POLTIGLIA MANICA 20 WG PFnPE;43,5
RO;13150;CURAME 25 WG;24
RO;13154;;3
RO;13154;MONDAK 480 S;91
RO;13156;CAMBEL 480 S;856
RO;13158;;5
RO;13158;REMEDIER;52
RO;13160;;205
RO;13168;;840
RO;13168;LAUDIS;11.791,00
RO;13168;LAUDIS LT. 1;5
RO;13168;LAUDIS LT. 5;5
RO;13205;;475
RO;13213;;48
RO;13213;R6 ERRESEI ALBIS;144
RO;13218;FINALSAN PLUS;20
RO;13225;;35
RO;13236;BULLET;151
RO;13242;;2.018,00
RO;13242;NICOGAN V.O.;1.625,00
RO;13242;NICOGAN V.O. LT. 1;1
RO;13242;NICOGAN V.O. LT. 5;5
RO;13244;;25
RO;13244;ZOLFO VENTILATO STELLA;25
RO;13250;ZOLFO VENTILATO STELLA RAMATO B;600
RO;13252;PLAYER 250 SC;416
RO;13254;PLAYER 25 WG;381
RO;13283;GARAK;81
RO;13299;MAGIO';2
RO;13307;BERLINA;2
RO;13313;;18
RO;13313;CASPER;45
RO;13323;SULFY 80 WDG;11,5
RO;13323;SULFY 80 WDG PFnPE;19
RO;13324;CUPRIZOL S;6
RO;13324;CUPRIZOL S PFnPE;11,25
RO;13327;;12,6
RO;13327;GRANSTAR ULTRA SX;114,1
RO;13329;;55
RO;13329;OMNEX 10 EC;33
RO;13367;;188
RO;13367;DIVO;397
RO;13382;;74
RO;13382;PERGADO SC;116,5
RO;13382;PERGADO SC PFnPE;4,5
RO;13386;;864
RO;13386;PROSARO;4.398,00
RO;13387;;18,55
RO;13387;FLORAMIX;168,64
RO;13389;;1.115,00
RO;13389;AFFIRM;4.518,00
RO;13391;;623
RO;13391;CYTHRIN 50 EC;188
RO;13402;;10
RO;13402;LUMA-KL;410
RO;13405;VERBUM EW;2
RO;13447;HELMSTAR 75 WG;3,58
RO;13447;HELMSTAR 75 WG GR. 10;0,11
RO;13451;SPARVIERO;343
RO;13455;;752
RO;13455;ANTIGRAM GOLD;5.229,00
RO;13455;ANTIGRAM GOLD LT. 1;10
RO;13466;;244
RO;13466;SPOTLIGHT PLUS;1.046,00
RO;13468;CLINER;2,4
RO;13468;CLINER PFnPE;1,3
RO;13471;;55
RO;13471;NICOZEA OD;194
RO;13486;JUDO;294
RO;13489;;4,5
RO;13489;CYMBAL;189
RO;13505;CLIVIS DUO;345
RO;13540;QUASAR R FLOW;57
RO;13552;ZOLVIS 80 SECTOR;406
RO;13552;ZOLVIS 80 SECTOR PFnPE;99,5
RO;13560;FORZA;2.108,00
RO;13576;;24,5
RO;13576;RAMEPLANT WG;60,5
RO;13576;RAMEPLANT WG PFnPE;33
RO;13578;RAME CAFFARO BLU WG NEW;66
RO;13586;;6
RO;13586;VERDERAME 20 WG PFnPE;31
RO;13592;;748
RO;13592;VOLARE;95
RO;13631;CYPLAN 5 EC;1
RO;13635;POLTIGLIA 20 PB MANICA;190
RO;13637;PERGADO F;5
RO;13648;;201
RO;13689;;14
RO;13689;FLINT MAX;25,5
RO;13693;BACILLUS CHEMIA;37,4
RO;13693;BACILLUS CHEMIA PFnPE;3,6
RO;13698;;20,5
RO;13698;VIVANDO;15,25
RO;13700;;9
RO;13700;ATLANTIS PRO;94,5
RO;13701;MAROX PRIME SX;0,2
RO;13705;;12
RO;13711;;4.704,00
RO;13716;CAPTAN ARVESTA 80 WG;811
RO;13741;;90
RO;13741;SELECTA DISPERSS;95
RO;13753;GAL-GONE;159
RO;13771;;246
RO;13771;NIMROD 250 EW;425
RO;13782;DOURO 10 WG;12
RO;13791;GEATER-STAR PFnPE;51
RO;13792;STABILAN;502
RO;13794;SPADA WDG;1.484,00
RO;13796;CELL;281
RO;13807;RAVENAS;8,5
RO;13809;;21.010,00
RO;13809;FORCE ULTRA;20.670,00
RO;13823;;95
RO;13823;ALVERDE;397
RO;13838;XEDAVIR PFnPE;1
RO;13841;;6.335,00
RO;13841;FOCUS ULTRA;9.899,00
RO;13841;FOCUS ULTRA LT. 1;15
RO;13841;FOCUS ULTRA LT. 5;40
RO;13842;;1.119,46
RO;13842;CHECKMATE OFM;3,2
RO;13885;;1
RO;13885;MICROCOPP NEUTRO FL;10
RO;13888;FANTIC F NC WG;47
RO;13895;;100
RO;13905;;518
RO;13905;BANJO;394
RO;13913;;1.800,00
RO;13925;BOGARD;1
RO;13927;;417
RO;13927;ZAMIR 18;2.385,00
RO;13930;MARINS 200 CLASS;55
RO;13981;;247,3
RO;13981;CORAGEN;1.167,95
RO;13983;;189
RO;13983;HUSSAR MAXX PRO;50
RO;13998;;109
RO;13998;PYRUS 400 SC;17
RO;14018;BASIC PFnPE;8
RO;14021;;35
RO;14021;BREK DUO;335
RO;14044;JOKER 480;6
RO;14058;;710,25
RO;14058;FEINZIN 70 DF;1.888,50
RO;14061;;1
RO;14061;TRIANUM-P;32,5
RO;14062;;75
RO;14062;ZOXIUM 240 SC;105
RO;14093;ANTARKTIS;2
RO;14100;KANEMITE;21
RO;14101;;2.593,00
RO;14101;CARAMBA;2.753,00
RO;14101;CARAMBA LT. 1;1
RO;14109;NICOSH;5
RO;14122;KATAR;120
RO;14128;;2
RO;14135;GRENADIER 75 DF;0,16
RO;14136;;1
RO;14136;OBERON;14
RO;14137;;62,1
RO;14137;ALTACOR;126,4
RO;14154;PIRETRO ACTIGREEN PFnPE;1,84
RO;14156;CURZATE R WG;28
RO;14156;CURZATE R WG KG. 10;10
RO;14165;;1.208,00
RO;14165;NANDO MAXI;1.716,00
RO;14166;;475
RO;14166;ZETOR;374
RO;14178;TRI-BASE;70
RO;14182;;1.043,00
RO;14182;ARES 25 WG;1.740,00
RO;14193;;10
RO;14193;SARMOX 45 DG;5,5
RO;14195;;1.036,00
RO;14195;KENDO WITH ZEON TECHNOLOGY;9
RO;14204;;17
RO;14204;75A;2
RO;14210;;59,5
RO;14210;EVURE PRO;60
RO;14214;RAPSAN 500 SC;2
RO;14232;;9
RO;14245;;23
RO;14257;;33,5
RO;14257;UNDERLINE 0,2 G;50,5
RO;14257;UNDERLINE 0,2 G PFnPE;404,5
RO;14262;GREENEX NF;8
RO;14262;GREENEX NF PFnPE;11,7
RO;14294;EXECUTIVE;7,7
RO;14323;;168
RO;14323;BELPROMEC;202
RO;14336;NEMATHORIN 150 EC;50
RO;14375;LION 5 EC;4.147,00
RO;14375;LION 5 EC LT. 1;5
RO;14380;CLORMET;11
RO;14387;NERVURE SUPER;3
RO;14390;;1.440,00
RO;14390;BOOM EFEKT;2.314,00
RO;14405;MERLIN FLEXX;93
RO;14406;LEIMAY;7,5
RO;14407;RUNWAY;2
RO;14409;;1.310,00
RO;14409;MOVENTO 48 SC;1.898,00
RO;14414;;24,5
RO;14414;DUSTY;14,5
RO;14414;DUSTY PFnPE;79,5
RO;14418;;20
RO;14418;PULSAR 40 SL;57
RO;14418;PULSAR 40 SL 14418/IP;2
RO;14431;;67
RO;14431;LENTAGRAN 45 WP;74
RO;14434;NUANCE;1,26
RO;14472;;300
RO;14472;PARTNER EC;554,3
RO;14479;;39.020,00
RO;14479;SCHERMO 0.5 G;19.663,00
RO;14523;CARPO 600;104,5
RO;14547;BAC MK PFnPE;7,5
RO;14549;LEPIBACK;278
RO;14559;;48
RO;14559;AGREE WG;98
RO;14576;CUTRIL EVO;240
RO;14577;;240
RO;14577;FORUM R 3B;346
RO;14582;FENGIB;25
RO;14636;;1.619,00
RO;14636;BIOLID UP;2.546,00
RO;14636;BIOLID UP PFnPE;7
RO;14642;;875
RO;14642;RIDOMIL GOLD R WG;2.472,00
RO;14660;BTK 32 WG;210
RO;14664;;1,12
RO;14664;BERELEX 40 SG;1,26
RO;14683;;0,2
RO;14683;BERMERAX;5,78
RO;14684;SUPERBO;27
RO;14686;;40
RO;14697;;251
RO;14697;ENERVIN DUO;203
RO;14699;;105
RO;14699;GEOXE;221
RO;14728;;10
RO;14728;CELIO;227
RO;14735;;105,5
RO;14735;RANMAN TOP;136,5
RO;14737;;11.454,50
RO;14737;ROUNDUP PLATINUM;15.491,00
RO;14737;ROUNDUP PLATINUM LT. 15;15
RO;14737;ROUNDUP PLATINUM LT. 5;20
RO;14737;ROUNDUP PLATINUM PFnPE;247
RO;14739;DELTAM PROTECT PFnPE;40
RO;14739;DELTAN PROTECT AL;12
RO;14759;SULCOCAP;87
RO;14764;SLUXX;10
RO;14765;ELUMIS;1.452,00
RO;14769;;2
RO;14769;COMET 250 EC;1.428,00
RO;14769;COMET 250 EC LT. 1;41
RO;14794;AVALON SC;500
RO;14801;;9
RO;14801;ADMIRAL GOLD;1
RO;14812;;29
RO;14812;ENERVIN TOP;215
RO;14830;CUPROFIX ULTRA DISPERSS;670
RO;14836;BARBARIAN BIOGRADE 360;1.047,00
RO;14836;BARBARIAN BIOGRADE 360 PFnPE;209
RO;14837;TARTAN;90
RO;14838;;1.020,00
RO;14838;BARCLAY GALLUP BIOGRADE 360;406
RO;14845;;9
RO;14846;AVALON 250 EW;393
RO;14854;KARAMAT M;3
RO;14867;;3
RO;14867;SYNERO;49
RO;14872;;52,5
RO;14872;BELLIS DRUPACEE;67,5
RO;14876;;3
RO;14879;;6,9
RO;14879;LONTREL 72 SG;10,2
RO;14884;;1.706,00
RO;14884;CORUM;5.568,00
RO;14884;CORUM LT. 1;14
RO;14884;CORUM LT. 5;45
RO;14891;;160
RO;14891;TRICO;10
RO;14897;FLUROSTAR 200;47
RO;14897;FLUROSTAR 200 LT. 1;4
RO;14900;KENKIO;75
RO;14913;BIOTRIX;6
RO;14916;;12
RO;14918;;1.221,00
RO;14918;RIVIOR;35
RO;14919;EMERALD 125 PFnPE;3,07
RO;14935;;1.893,00
RO;14935;TIMELINE TRIO;420
RO;14935;TIMELINE TRIO LT. 1;3
RO;14936;;32
RO;14936;AMPLIGO;711,5
RO;14937;VOLIAM TARGO;16
RO;14940;;5
RO;14944;;71
RO;14944;FLUXYR 200 EC;32
RO;14967;TIPTOR ULTRA;12
RO;14967;TIPTOR ULTRA LT. 1;24
RO;14969;;5.920,00
RO;14972;DICARZOL 50 SP;129
RO;14980;AFFINITY PLUS;16
RO;15005;;52
RO;15005;FONTELIS;14
RO;15008;LBG - 01F34;18
RO;15013;Natria lumachicida;1,4
RO;15013;NATRIA LUMACHICIDA PFnPE;25,5
RO;15023;DERREX;540
RO;15037;BREZZA;7
RO;15039;;233,5
RO;15039;GAMIT 36 CS;519
RO;15044;;674
RO;15047;R6 ERRESEI BORDEAUX WG;6
RO;15048;;4
RO;15049;MODDUS;151
RO;15050;;49
RO;15050;VERTIMEC PRO;859
RO;15051;;5.145,00
RO;15051;KYLEO;10.110,00
RO;15052;KAIMO SORBIE;58,5
RO;15056;;30
RO;15056;TOMCATO;41
RO;15058;PRINCIPAL MAIS;100,04
RO;15059;;839
RO;15059;DECIS EVO;1.263,25
RO;15059;DECIS EVO LT. 1;4
RO;15059;DECIS EVO ML. 250;3,5
RO;15062;;598
RO;15062;PIRAMAX  EC;138
RO;15063;NIMBLE;10
RO;15071;;49
RO;15071;EVOLUTION;488
RO;15083;AUDACE;153
RO;15084;;102,5
RO;15084;DRUM;1
RO;15089;MARKER DUO;395
RO;15096;GLIPHOGAN TOP CL;619,5
RO;15096;GLIPHOGAN TOP CL PFnPE;2.769,50
RO;15101;CIMORAM ULTRA WG;286
RO;15111;;388
RO;15111;MIRADOR SC;37
RO;15115;;62
RO;15119;;5
RO;15121;;360
RO;15122;;2
RO;15122;ACTELLIC 50 NEWPHARM;7
RO;15125;;2
RO;15130;;11
RO;15130;INTREPID;81
RO;15142;;2.954,00
RO;15142;ALCANCE SYNC TEC;4.721,00
RO;15149;;1.010,00
RO;15149;COSAVET DF EDGE;60
RO;15177;;37
RO;15198;;75
RO;15198;AZBANY;200
RO;15199;;7
RO;15199;SAKURA;305
RO;15200;;15
RO;15200;QUALY;8
RO;15201;FLOXY 400 SC;13
RO;15213;DEMETRINA FLOW;21,2
RO;15213;DEMETRINA FLOW PFnPE;31,87
RO;15214;;2,5
RO;15221;;10
RO;15229;;995
RO;15229;STOPPER P;4.120,00
RO;15232;CUSTODIA ULTRA;1.597,00
RO;15235;;506
RO;15235;MOMENTUM;551
RO;15235;MOMENTUM PFnPE;20,5
RO;15251;;470
RO;15251;AIRONE LIQUIDO;8.204,00
RO;15253;;335
RO;15264;ENERVIN SC;40,5
RO;15265;;305
RO;15265;PROMAN FLOW;791
RO;15265;PROMAN FLOW LT. 1;10
RO;15265;PROMAN FLOW LT. 5;40
RO;15270;PROFELIS;4,23
RO;15275;DURAVIS;564
RO;15288;OCEAL;12
RO;15291;;23,5
RO;15291;TURFENE PLUS;1,8
RO;15291;TURFENE PLUS PFnPE;85,1
RO;15293;;5
RO;15293;MAVITA 250 EC;7
RO;15294;;498
RO;15302;;6
RO;15302;AMYLO-X;148
RO;15307;;197,5
RO;15307;DEDALUS 25 WDG;12
RO;15310;NISSHIN EXTRA 6 OD;8
RO;15311;TIZCA;11
RO;15315;;246
RO;15315;EMBRACE;2
RO;15317;;109
RO;15326;;4.180,00
RO;15330;PINDARUS 25 WDG;30,5
RO;15331;ZEFIR 25 WDG;41
RO;15333;APPLAUD PLUS PFnPE;0,1
RO;15335;;342
RO;15335;U 46 ULTRA;59
RO;15337;;0,3
RO;15337;EXPRESS;1
RO;15344;;92
RO;15344;FILAN WG;4
RO;15348;;406
RO;15348;RIDOMIL GOLD R LIQUIDO;569
RO;15349;;269
RO;15349;ARES 430 SC;1.209,00
RO;15356;;45
RO;15358;ZOLFO FLOW MCT;1.190,00
RO;15358;ZOLFO FLOW MCT PFnPE;32,5
RO;15363;MEDEIRO 80 WG ADVANCE PFnPE;24
RO;15365;RAME ZOLFO FLOW MCT;2
RO;15369;MAGMA TRIPLE;41
RO;15371;BELEM PROTEZIONE;516
RO;15373;BELEM SUOLO INSETTI;396
RO;15375;NIC 4;35
RO;15377;;58
RO;15377;EMBRELIA;3
RO;15378;;64
RO;15378;TRAXOS PRONTO 60;1.647,00
RO;15379;;253,13
RO;15379;AXIAL PRONTO 60;193,5
RO;15384;;263
RO;15384;LUNA EXPERIENCE;187
RO;15389;;860
RO;15389;FLARE GOLD R WG;100
RO;15398;KAMIKAZE;13
RO;15401;;1.599,00
RO;15401;TAIFUN MK CL;20.801,50
RO;15401;TAIFUN MK CL PFnPE;51
RO;15402;;20
RO;15402;DELTASAP;25
RO;15405;;4.886,00
RO;15405;SHAMAL MK PLUS CL;131,5
RO;15405;SHAMAL MK PLUS CL PFnPE;2
RO;15409;DECISION;643
RO;15417;DITTO;1,5
RO;15419;;52
RO;15422;;11,16
RO;15422;TITUS DUO;12,24
RO;15448;;1
RO;15449;CIDELY;21
RO;15455;TELDOR PLUS ORTO PFnPE;2,8
RO;15468;;8
RO;15468;ACASTA;38
RO;15483;WISH;220
RO;15491;;140,5
RO;15491;SWORD UP;601
RO;15493;SIMUN 40 OD;138
RO;15499;SONG 70 WDG;7,5
RO;15501;QUIZ;588
RO;15507;CREW SUPERB;283
RO;15513;OSSICLOR 35 WG GREEN;16
RO;15515;POLTIGLIA 20 PB GREEN;320
RO;15536;ANTAL;13
RO;15537;;840
RO;15537;DELTAGRI;79
RO;15546;;259,5
RO;15546;BIATHLON 4D;436,67
RO;15546;BIATHLON 4D GR. 100;4,5
RO;15546;BIATHLON 4D GR. 350;1,75
RO;15549;;35
RO;15549;PROLECTUS 50 WG;6
RO;15550;;99
RO;15550;MERLIN FLEXX XTRA;249
RO;15553;;75
RO;15553;REGALIS PLUS;112,5
RO;15556;TERVIGO;15
RO;15562;BELURE-T;0,04
RO;15566;;379
RO;15566;VISION PLUS;743
RO;15574;KARMA 85;80
RO;15576;CLERANDA;60
RO;15583;;276
RO;15583;PIRAT;13
RO;15598;;259
RO;15598;CARPOVIRUSINE EVO 2;74
RO;15610;CYPERKILL 50 EC;148
RO;15612;;5,1
RO;15612;SEMPRA;4,5
RO;15621;;10
RO;15621;BOTTO 50 EC;209
RO;15621;BOTTO 50 EC PFnPE;11,1
RO;15630;;25,5
RO;15630;CARSON 45% WG;64
RO;15635;;1.090,00
RO;15635;ADENGO XTRA;1.727,00
RO;15635;ADENGO XTRA ML. 0,500;3
RO;15640;PROLINE STAR;250
RO;15654;ACCORD;182
RO;15655;;464
RO;15655;KEETON 25 WG;17
RO;15663;CUPRAVIT 35 WG;10
RO;15664;KORING 25 WG;1
RO;15664;KORING 25 WG KG. 1;6
RO;15665;;24
RO;15665;KEMPO SORBIE;260,9
RO;15668;;3
RO;15668;GHIBLI 240 OD;11
RO;15674;;109,4
RO;15674;AMADEUS TOP;3,45
RO;15680;MITHRA 40 SC;10
RO;15689;;559
RO;15689;DIFENZONE;152
RO;15693;;63
RO;15693;LISTEGO;21
RO;15710;CLINCHER ONE;553
RO;15712;;240
RO;15713;;0,8
RO;15713;DIABLO SC;0,4
RO;15718;;9,3
RO;15718;GRANSTAR TRIO;1,5
RO;15722;;10
RO;15725;DUAXO;4,8
RO;15725;DUAXO PFnPE;10,4
RO;15735;;9,75
RO;15741;;670
RO;15741;AVADEX FACTOR;1.580,00
RO;15744;REBOOT;5
RO;15745;SHARPEN 40% SC;104
RO;15748;;178
RO;15748;SYLLIT 544 SC;415
RO;15751;;0,5
RO;15751;VITENE TRIPLO R;26
RO;15751;VITENE TRIPLO R PFnPE;167
RO;15752;CIDELY TOP;84
RO;15753;;289
RO;15753;PYXIDES DUO;10
RO;15754;SHARPEN 33% EC;11
RO;15769;;2.582,00
RO;15769;MERO;16
RO;15790;AMISTAR TOP;155
RO;15806;ONYX;23
RO;15831;VACCIPLANT;4
RO;15838;;80
RO;15838;ROUNDUP ULTRAMAX;8.740,00
RO;15856;AZAKA;27
RO;15868;CENTURION PRO;810
RO;15869;;960
RO;15870;CLIOPHAR 600 SL;0,8
RO;15886;;55
RO;15886;METAREX INOV;167
RO;15890;CURZATE 60 WG;1
RO;15892;BANG PLUS;1
RO;15893;GIAGUAR SL PFnPE;1,15
RO;15897;ALFIL WG;585
RO;15900;;13.080,00
RO;15900;TRIKA EXPERT;11.210,00
RO;15901;;5.190,00
RO;15901;ERCOLE;25.510,00
RO;15901;ERCOLE KG. 10;110
RO;15907;;91
RO;15907;PRESIDIUM ONE;766
RO;15907;PRESIDIUM ONE PFnPE;3,4
RO;15911;;48
RO;15915;;309
RO;15915;STARANE HD;91
RO;15926;MOJANG 600;2.536,00
RO;15933;AXIENDO PRONTO USO;18
RO;15948;;5
RO;15948;SINSAJO;101
RO;15961;;54
RO;15961;RETENGO NEW;4
RO;15975;HIATUS;2,2
RO;15990;;144,1
RO;15990;SCIROCCO 125 EW PFnPE;15,8
RO;16007;;2.285,00
RO;16007;REWARD;256
RO;16014;AGRO-LIM;5
RO;16023;DIMBO 480 SL;28
RO;16028;TRIBE 75 WG;0,77
RO;16032;;32
RO;16033;;12
RO;16033;HEREU SC;23
RO;16037;MOJANG TX;1.192,00
RO;16038;;18
RO;16038;CABRIO WG;11
RO;16042;TOSCANA;0,23
RO;16051;LENNS;105
RO;16051;LENNS PFnPE;42
RO;16056;SARACEN;3,75
RO;16063;ARIGO;14,85
RO;16064;CREDIT 540;1.065,00
RO;16065;;2
RO;16065;SERRATE;179,75
RO;16068;FOLDER 80 WG;20
RO;16071;;40
RO;16071;MESOZIN 70 WG;182,25
RO;16074;GLORIAL 25 EC;47
RO;16076;SOLIS;667
RO;16083;;24
RO;16084;;13
RO;16084;BREVIS;73,5
RO;16085;;1,7
RO;16085;TRIMUR;0,95
RO;16089;BUGUIS;346,48
RO;16089;BUGUIS ML. 630;27,09
RO;16099;SINIS 70 DF;1
RO;16101;;64
RO;16104;;164
RO;16104;ELECTIS TRIO WDG;49
RO;16104;ELECTIS TRIO WDG PFnPE;10
RO;16108;ATELIER;680
RO;16117;SERBY PFnPE;60,5
RO;16132;;3,6
RO;16142;MINECTO ALPHA;15
RO;16149;;7
RO;16159;;120
RO;16167;MARACANA;4
RO;16170;;20
RO;16170;TRICUP FLOW;143
RO;16172;CAL-EX 1,9 EW;12
RO;16181;;10
RO;16182;CLICK PRO;420
RO;16189;RISOLUTIV ROW;10
RO;16191;;284
RO;16191;TRIMAXX;144
RO;16198;EVORAM 15;300
RO;16221;;15,4
RO;16221;MADEX TOP;12,4
RO;16224;;70
RO;16224;CUPRORAM 37,5 WG;28
RO;16226;;124
RO;16229;;20
RO;16232;MINERVE;68,4
RO;16248;FERREX;1.236,00
RO;16249;CARDINAL 50 WG;40
RO;16251;;192
RO;16251;AFFIRM OPTI;915
RO;16252;;45
RO;16252;AMISTAR GOLD;30
RO;16255;PANTOX MAX;5
RO;16261;;20
RO;16271;FRESCO;200
RO;16273;;247
RO;16273;SIVANTO PRIME;161,5
RO;16279;;1.750,00
RO;16279;ERCOLE GR;100
RO;16282;DIMIX;2
RO;16283;;10
RO;16283;QUANTUM R-OK;65
RO;16285;;1.400,00
RO;16285;KALIMBA;57
RO;16287;SOLIGOR;2.897,00
RO;16290;AMADEUS ULTRA;26,9
RO;16293;;12
RO;16293;PACLOT NEW;28
RO;16295;;173
RO;16299;;3.148,00
RO;16299;PASSAT SL;692
RO;16305;BONZI;15
RO;16313;OMNERA   LQM;141
RO;16314;;50
RO;16314;ZOXIS 250 SC;592
RO;16315;RADAR HP PFnPE;43,2
RO;16318;;172
RO;16318;REFLECT;214
RO;16322;PENNY;9
RO;16323;PENDIWIN;172
RO;16325;;2.689,00
RO;16325;EPIK SL;4.127,47
RO;16325;EPIK SL PFnPE;26,11
RO;16335;;160
RO;16335;LIETO SC;452
RO;16336;;67
RO;16336;DELAN SC;90
RO;16362;;75
RO;16363;;481,6
RO;16363;SIRTAKI;1.202,00
RO;16363;SIRTAKI ML. 300;1,5
RO;16364;;5.342,00
RO;16364;BISMARK;2.056,00
RO;16369;;14
RO;16369;ORTIVA TOP SC;199
RO;16379;;2.285,00
RO;16379;PREV-AM PLUS;1.071,00
RO;16381;;8
RO;16381;CALLICORE;316
RO;16384;;2.951,00
RO;16384;ELATUS ERA;2.396,00
RO;16385;;915,75
RO;16385;ELATUS PLUS;35
RO;16387;HERBITOTAL CL;900
RO;16395;;40
RO;16395;MOHICAN 500 SC;30
RO;16396;TEMSA 100;15
RO;16396;TEMSA 100 LT. 1;10
RO;16399;DECIS 15 EW;0,18
RO;16399;DELTAM 15 EW HOBBY PFnPE;76,79
RO;16402;;6,75
RO;16402;ENVIROMITE FL;177,25
RO;16404;BRAI;60
RO;16415;;13,3
RO;16415;MADEX TWIN;5
RO;16422;;2
RO;16431;PREVICUR ENERGY ORTO PFnPE;0,8
RO;16433;FLINT RISO;29
RO;16438;;36
RO;16438;VELUM PRIME;26
RO;16448;NEALTA;2
RO;16457;;2.767,00
RO;16457;POLTIGLIA 20 WG GREEN;1.026,00
RO;16458;OSSICLOR 30 GREEN;460
RO;16461;;342
RO;16461;CENTURION 240 NEO;40
RO;16461;CENTURION 240 NEO LT. 1;5
RO;16470;COLUMBO 0.8 MG PFnPE;294,5
RO;16472;;200
RO;16472;CONVISO ONE;65
RO;16474;;0,9
RO;16474;MATSUDA 25 WG;5,1
RO;16480;;668
RO;16480;3LOGY;271
RO;16481;;690,9
RO;16481;CALLISTO 480;67,5
RO;16485;;55
RO;16485;ROMULAN;41
RO;16492;VASCO;150
RO;16498;CETUS 360 CS;10
RO;16500;TRIBAL;1,27
RO;16509;IBISCO;237
RO;16523;MISTER C;15,96
RO;16527;TELLUS WP;3
RO;16532;ROSBAY;5,6
RO;16538;;35
RO;16538;KITAMBA;24
RO;16548;;5,76
RO;16558;CARPOVIR;208,5
RO;16562;;490
RO;16562;DELAN PRO;545
RO;16563;;399
RO;16563;DOROTRIN 25 EC;75
RO;16564;;520
RO;16565;;0,1
RO;16565;EXECUTIVE GOLD;6,5
RO;16566;KUPPER 20 WG;420
RO;16567;;90
RO;16570;SENCOR 600 SC;2
RO;16573;;52
RO;16573;FIGHTER;65
RO;16575;;7
RO;16575;TRIMMER 50 WG;15,02
RO;16577;;11
RO;16577;U46 COMBI DUO;159
RO;16580;VIPER ON;30
RO;16596;SANIUM SL25 PFnPE;8,3
RO;16598;SANIUM AL PFnPE;11,2
RO;16599;SANIUM AL PFnPO;1,2
RO;16615;RUFAST ADVANCE;24
RO;16616;;988
RO;16616;VALLEY;1.686,40
RO;16616;VALLEY LT. 1;29
RO;16624;;474
RO;16624;LUNA CARE;690
RO;16625;MAINSPRING;1,2
RO;16632;;5
RO;16632;LUNA SENSATION;5,5
RO;16635;SEGURIS ERA;701
RO;16640;MAZA 4% SL;13
RO;16641;RINIDI;5,28
RO;16643;;108
RO;16643;SUCCESS GR;2.928,00
RO;16647;;590
RO;16647;TAG PRO;280
RO;16654;;29,5
RO;16654;POLYVERSUM;33,8
RO;16657;;200
RO;16657;CENTURY PRO;110
RO;16658;;178
RO;16658;DAGONIS;887
RO;16660;ACTLET C;130
RO;16663;ACTLET F;2
RO;16667;;39
RO;16667;REVOLUTION;81
RO;16690;;857,25
RO;16690;KESTREL;713
RO;16694;;5
RO;16698;BEYOND PLUS;125
RO;16699;;0,4
RO;16699;RIMURON;0,1
RO;16701;;13,4
RO;16701;PLAZA;2,8
RO;16703;;245
RO;16703;SPADA 50 WG;1.712,00
RO;16711;BUZIN;0,5
RO;16734;T34 BIOCONTROL;2
RO;16735;LOBETEC;8,19
RO;16751;REQUIEM prime;5
RO;16753;;50
RO;16755;DANEVA;2
RO;16774;ISOMATE C LR MAX TT;0,83
RO;16776;;412,5
RO;16776;ASSET FIVE;1.359,75
RO;16778;EVORELLE EXPRESS;0,3
RO;16779;TONALE;1.288,00
RO;16780;;495
RO;16780;SERENADE ASO;105
RO;16781;;6
RO;16783;;1.901,00
RO;16783;NICARAGUA;2
RO;16787;;160
RO;16787;CLINIC ST;10.345,00
RO;16792;PROFILE PLUS;3,5
RO;16796;JOICE 55 D;930
RO;16797;DEMETRINA 25 EC;355
RO;16802;;362
RO;16802;ZYPAR;2.845,00
RO;16808;NEXT;49
RO;16813;;15,3
RO;16813;XANADU;3,5
RO;16816;;9
RO;16816;EXALT 25 SC;121
RO;16827;MAISOT;39
RO;16828;MAKURI MAX;8,5
RO;16830;;14.475,00
RO;16830;FANDANGO 360 TF;1.530,00
RO;16831;GLIFENE BIOGRADE;4.865,00
RO;16831;GLIFENE BIOGRADE PFnPE;240
